X,Y,Class,2016-01-_1,2016-01-_2,2016-01-_3,2016-01-_4,2016-01-_5,2016-01-_6,2016-01-_7,2016-01-_8
782885.1643,1448673.302,4,10376,9701,9172,8280,9355,6444,5888,5194
780813.0692,1443671.693,4,10473,9814,9293,8423,7709,6192,5749,5203
782956.6159,1443671.693,4,10646,10045,9637,8975,7913,6309,5881,5243
780527.263,1448744.754,4,10225,9555,9115,8294,11892,8443,6893,5173
780170.0052,1432668.154,4,10513,9782,9163,8320,8033,6400,5907,5241
769586.8266,1454478.674,4,10043,9251,8515,7935,7548,5877,5492,5126
781555.176,1450783.357,4,10145,9347,8575,7761,7441,6016,5630,5165
783264.9754,1447980.216,4,10215,9526,8976,8065,8832,6249,5804,5210
783741.8582,1451399.815,4,10610,9855,9157,8461,8461,6620,6024,5217
785021.2999,1451318.396,4,10127,9328,8398,7778,7791,6298,5840,5163
783939.5901,1450620.519,4,10347,9599,8902,8310,9335,7214,6388,5233
784893.3557,1450434.418,4,10852,10218,9717,9271,9295,7673,6816,5211
785067.825,1448899.088,4,11019,10492,10405,9556,9049,6960,6247,5241
790149.1935,1431855.776,4,10258,9462,8877,7843,7937,6056,5698,5217
784170.5939,1436376.181,4,10271,9458,8567,7858,7541,6170,5802,5220
795722.7389,1441204.426,4,9919,9140,8319,7483,7325,5752,5442,5087
790239.8845,1431447.195,4,10411,9697,9310,8189,8226,6068,5700,5199
789638.2401,1431723.359,4,10320,9594,9095,7963,8205,6091,5713,5241
789786.1855,1431240.071,4,10367,9668,9347,8185,8243,6040,5697,5227
784016.317,1428794.042,4,10516,9735,8776,8119,7711,6246,5853,5254
784193.8515,1428379.795,4,10447,9652,8678,7997,7572,6148,5781,5221
785466.1814,1424917.874,4,10255,9454,8483,7792,7534,6240,5819,5225
782694.672,1424395.133,4,10194,9382,8430,7727,9148,6768,6025,5240
782773.5762,1424237.325,4,10254,9445,8468,7811,7767,6340,5872,5234
785604.2637,1424740.339,4,10189,9404,8454,7765,7474,6166,5758,5216
790644.2685,1424335.955,4,9961,9136,8185,7569,7523,6066,5671,5167
784200.0844,1436660.147,4,10162,9372,8507,7756,7359,6032,5693,5200
795971.0832,1441601.06,4,10003,9268,8476,7692,7362,5695,5403,5090
780421.7391,1443756.655,4,10296,9638,9112,8161,7443,6020,5634,5179
782528.8932,1443635.554,4,10398,9650,8898,8308,14773,9828,7576,5232
783376.5989,1445573.167,4,10286,9617,8990,8121,8189,6256,5823,5230
763641.094,1447235.854,4,10190,9404,8694,7979,7676,6105,5642,5138
